"business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category"
36876,"Kasa Indian Eatery","4001 18th St","San Francisco","CA","94114",37.760974,-122.432959,"POINT (-122.432959 37.760974)",NULL,"36876_20190923","2019-09-23",86,"Routine - Unscheduled","36876_20190923_103161","Low risk vermin infestation","Low Risk"
384,"RINCONSITO SALVADORENO","3829 MISSION St","San Francisco","CA","94110",37.73571,-122.424528,"POINT (-122.424528 37.73571)",NULL,"384_20190321","2019-03-21",73,"Routine - Unscheduled","384_20190321_103131","Moderate risk vermin infestation","Moderate Risk"
19003,"Panchitas Restaurant","3091 16th St","San Francisco","CA","94103",37.764903,-122.421609,"POINT (-122.421609 37.764903)",NULL,"19003_20190416","2019-04-16",NULL,"Complaint","19003_20190416_103114","High risk vermin infestation","High Risk"
61438,"Green Chile Kitchen","1801 McAllister","San Francisco","CA","94115",37.7773,-122.441709,"POINT (-122.441709 37.7773)",NULL,"61438_20190425","2019-04-25",85,"Routine - Unscheduled","61438_20190425_103114","High risk vermin infestation","High Risk"
2755,"SOCIALE","3665 SACRAMENTO St","San Francisco","CA","94118",37.787364,-122.45299,"POINT (-122.45299 37.787364)","14155920309","2755_20180816","2018-08-16",88,"Routine - Unscheduled","2755_20180816_103131","Moderate risk vermin infestation","Moderate Risk"
60210,"Cafe Seventy 8","78 29th St","San Francisco","CA","94110",37.744012,-122.422264,"POINT (-122.422264 37.744012)",NULL,"60210_20190401","2019-04-01",86,"Routine - Unscheduled","60210_20190401_103161","Low risk vermin infestation","Low Risk"
38929,"Jelly Donut","3198 24th St","San Francisco","CA","94110",37.752439,-122.41625,"POINT (-122.41625 37.752439)",NULL,"38929_20180319","2018-03-19",82,"Routine - Unscheduled","38929_20180319_103131","Moderate risk vermin infestation","Moderate Risk"
63601,"Tokyo Express Restaurant","814 Mission St","San Francisco","CA","94103",37.784163,-122.404739,"POINT (-122.404739 37.784163)",NULL,"63601_20190607","2019-06-07",86,"Routine - Unscheduled","63601_20190607_103161","Low risk vermin infestation","Low Risk"
3485,"THE BEACH CHALET BREWERY & REST.","1000 GREAT HIGHWAY","San Francisco","CA","94121",37.770346,-122.510896,"POINT (-122.510896 37.770346)",NULL,"3485_20170711","2017-07-11",90,"Routine - Unscheduled","3485_20170711_103131","Moderate risk vermin infestation","Moderate Risk"
19138,"Pho Ha Tien","1900 OCEAN Ave","San Francisco","CA","94127",37.725306,-122.462261,"POINT (-122.462261 37.725306)",NULL,"19138_20180315","2018-03-15",NULL,"Complaint","19138_20180315_103131","Moderate risk vermin infestation","Moderate Risk"
1930,"Sunrise Deli","2115 Irving St","San Francisco","CA","94122",37.763383,-122.48075,"POINT (-122.48075 37.763383)",NULL,"1930_20161019","2016-10-19",83,"Routine - Unscheduled","1930_20161019_103161","Low risk vermin infestation","Low Risk"
63047,"Roam Artisan Burgers","1785 UNION St","San Francisco","CA","94123",37.797954,-122.428477,"POINT (-122.428477 37.797954)","14155414247","63047_20180521","2018-05-21",96,"Routine - Unscheduled","63047_20180521_103161","Low risk vermin infestation","Low Risk"
3285,"Wing Lum Cafe","1150 Polk St","San Francisco","CA","94109",37.787438,-122.419952,"POINT (-122.419952 37.787438)",NULL,"3285_20161005","2016-10-05",77,"Routine - Unscheduled","3285_20161005_103131","Moderate risk vermin infestation","Moderate Risk"
2974,"LEAPING LEMUR CAFE","1 ZOO Rd","San Francisco","CA","94132",37.73017,-122.502535,"POINT (-122.502535 37.73017)","14155757182","2974_20170308","2017-03-08",NULL,"Complaint","2974_20170308_103131","Moderate risk vermin infestation","Moderate Risk"
63082,"The Brick Yard","1787 Union St","San Francisco","CA","94123",37.797933,-122.428627,"POINT (-122.428627 37.797933)","14156677676","63082_20180731","2018-07-31",81,"Routine - Unscheduled","63082_20180731_103114","High risk vermin infestation","High Risk"
1442,"Waterfront Bakery","2801 Leavenworth St","San Francisco","CA","94133",37.807155,-122.419004,"POINT (-122.419004 37.807155)",NULL,"1442_20170123","2017-01-23",94,"Routine - Unscheduled","1442_20170123_103131","Moderate risk vermin infestation","Moderate Risk"
2721,"Red Jade Restaurant","245 Church St.","San Francisco","CA","94114",37.766814,-122.428846,"POINT (-122.428846 37.766814)",NULL,"2721_20190821","2019-08-21",84,"Routine - Unscheduled","2721_20190821_103131","Moderate risk vermin infestation","Moderate Risk"
2649,"WAN KEE RESTAURANT","2152 MISSION St","San Francisco","CA","94110",37.762527,-122.419475,"POINT (-122.419475 37.762527)","14155864138","2649_20170831","2017-08-31",76,"Routine - Unscheduled","2649_20170831_103131","Moderate risk vermin infestation","Moderate Risk"
3206,"PPQ Vietnamese RESTAURANT","2332 CLEMENT St","San Francisco","CA","94121",37.782068,-122.484432,"POINT (-122.484432 37.782068)",NULL,"3206_20181003","2018-10-03",72,"Routine - Unscheduled","3206_20181003_103131","Moderate risk vermin infestation","Moderate Risk"
24572,"S & T Hong Kong Seafood","2588 Noriega St","San Francisco","CA","94122",37.753608,-122.491313,"POINT (-122.491313 37.753608)",NULL,"24572_20190716","2019-07-16",69,"Routine - Unscheduled","24572_20190716_103114","High risk vermin infestation","High Risk"
5897,"BRET HARTE CHILDREN'S CENTER","950 HOLLISTER Ave","San Francisco","CA","94124",37.718375,-122.390006,"POINT (-122.390006 37.718375)","14155331545","5897_20181025","2018-10-25",91,"Routine - Unscheduled","5897_20181025_103114","High risk vermin infestation","High Risk"
